Time (in s),Radial Velocity (in m/s)
0,0.06294935409
100000,0.06646747318
200000,0.06651365889
300000,0.06252399644
400000,0.05992796097
500000,0.06560928122
600000,0.0597065839
700000,0.06527916853
800000,0.06827663144
900000,0.06272295443
1000000,0.06703405198
1100000,0.066536999
1200000,0.05974400406
1300000,0.05087513463
1400000,0.05705848454
1500000,0.05199727199
1600000,0.05787965555
1700000,0.06603555118
1800000,0.05881249514
1900000,0.05460513177
2000000,0.06122945731
2100000,0.04900441735
2200000,0.05967595643
2300000,0.05882292867
2400000,0.05989534833
2500000,0.0492817004
2600000,0.05409969063
2700000,0.06482726856
2800000,0.06401227667
2900000,0.05859687017
3000000,0.05264723083
3100000,0.06624265591
3200000,0.04925165212
3300000,0.06266024796
3400000,0.05683280009
3500000,0.05292116898
3600000,0.04949721429
3700000,0.04771356292
3800000,0.0565708902
3900000,0.06352242892
4000000,0.0495095948
4100000,0.0518703178
4200000,0.04731543506
4300000,0.05522169902
4400000,0.06134462806
4500000,0.04796303303
4600000,0.04799194504
4700000,0.0513435834
4800000,0.05352379877
4900000,0.05798588671
5000000,0.05236412651
5100000,0.05694237276
5200000,0.04098418027
5300000,0.0435026204
5400000,0.05072764844
5500000,0.05613758758
5600000,0.0528509938
5700000,0.03745139239
5800000,0.04701485861
5900000,0.04560791543
6000000,0.04106288216
6100000,0.03554834376
6200000,0.0401385418
6300000,0.04061787514
6400000,0.04930228552
6500000,0.03734537802
6600000,0.05132758981
6700000,0.04275101323
6800000,0.04185342933
6900000,0.04030874374
7000000,0.03076201069
7100000,0.03970685359
7200000,0.03777832974
7300000,0.048056467
7400000,0.03334199282
7500000,0.03872089076
7600000,0.04130501912
7700000,0.04213373715
7800000,0.02702118511
7900000,0.03938757993
8000000,0.03706012358
8100000,0.04146688249
8200000,0.03560947913
8300000,0.03847477218
8400000,0.03267107786
8500000,0.03574281937
8600000,0.02732219116
8700000,0.03638961667
8800000,0.02427189775
8900000,0.03290004624
9000000,0.01960093533
9100000,0.03385022913
9200000,0.03275671885
9300000,0.02339065668
9400000,0.02028566022
9500000,0.02707470779
9600000,0.02651762524
9700000,0.022801398
9800000,0.01264019672
9900000,0.02146727728
10000000,0.02087000599
10100000,0.006751848145
10200000,0.01399031325
10300000,0.01650678896
10400000,0.004998691529
10500000,0.003272680565
10600000,0.0153830866
10700000,0.02003285815
10800000,0.006677050567
10900000,0.004287495361
11000000,0.004243330326
11100000,0.01738253637
11200000,0.0005458154074
11300000,0.006694542348
11400000,0.0008658943198
11500000,0.0003713028719
11600000,0.01234078888
11700000,-0.001904289325
11800000,-0.007926827729
11900000,-0.007900548901
12000000,-0.01056277131
12100000,0.001212825299
12200000,-0.01286804362
12300000,-0.007228873747
12400000,-0.01003724913
12500000,-0.008367337408
12600000,-0.002164280324
12700000,-0.00960522541
12800000,-0.01302424272
12900000,-0.000876974306
13000000,-0.01884673864
13100000,-0.00878442983
13200000,-0.02287705856
13300000,-0.02290244633
13400000,-0.01294674088
13500000,-0.02636052878
13600000,-0.01195492075
13700000,-0.02630185992
13800000,-0.01911000777
13900000,-0.01282832424
14000000,-0.01503920606
14100000,-0.02777663744
14200000,-0.02617596719
14300000,-0.03595214411
14400000,-0.02482072266
14500000,-0.02971568282
14600000,-0.02262142147
14700000,-0.03953212843
14800000,-0.03455584735
14900000,-0.03808142927
15000000,-0.02438579886
15100000,-0.04044445842
15200000,-0.04544556524
15300000,-0.04005242189
15400000,-0.03362974812
15500000,-0.04495727968
15600000,-0.04314123777
15700000,-0.04592616989
15800000,-0.04276071372
15900000,-0.0455342084
16000000,-0.04180488457
16100000,-0.03678693848
16200000,-0.03943202305
16300000,-0.04383616236
16400000,-0.04489916851
16500000,-0.04828475353
16600000,-0.04189951834
16700000,-0.05947201051
16800000,-0.05564033351
16900000,-0.06413310717
17000000,-0.0460887729
17100000,-0.05296280301
17200000,-0.06604929694
17300000,-0.05777240559
17400000,-0.05271258239
17500000,-0.06960507843
17600000,-0.06032014965
17700000,-0.05445708713
17800000,-0.0572689473
17900000,-0.06690422129
18000000,-0.06636750069
18100000,-0.07301531348
18200000,-0.07335828102
18300000,-0.06463028103
18400000,-0.07291657993
18500000,-0.06985524246
18600000,-0.06522963519
18700000,-0.07684051846
18800000,-0.06775679082
18900000,-0.07060257024
19000000,-0.08305176268
19100000,-0.06702460028
19200000,-0.07314785807
19300000,-0.08661619653
19400000,-0.08022177962
19500000,-0.08389796191
19600000,-0.08249423424
19700000,-0.08026205608
19800000,-0.09201175443
19900000,-0.08500904207
20000000,-0.0840887482
20100000,-0.08606468064
20200000,-0.08104023856
20300000,-0.07859209104
20400000,-0.09542309652
20500000,-0.09894260163
20600000,-0.08189979956
20700000,-0.09056521255
20800000,-0.08697601938
20900000,-0.08602911385
21000000,-0.09739538361
21100000,-0.09396091569
21200000,-0.102797379
21300000,-0.09623293678
21400000,-0.09154584314
21500000,-0.1070210539
21600000,-0.09812552632
21700000,-0.09044334549
21800000,-0.09958545007
21900000,-0.0929072409
22000000,-0.09912693362
22100000,-0.1078599323
22200000,-0.1022645635
22300000,-0.1096462691
22400000,-0.1089196009
22500000,-0.1125149225
22600000,-0.1005057986
22700000,-0.1085510987
22800000,-0.1036347371
22900000,-0.1096825324
23000000,-0.09970651334
23100000,-0.1114350838
23200000,-0.1142887407
23300000,-0.1084089766
23400000,-0.1182695034
23500000,-0.1072612432
23600000,-0.1191007469
23700000,-0.1115250793
23800000,-0.1046819396
23900000,-0.1077166258
24000000,-0.1213584482
24100000,-0.1194975598
24200000,-0.1044495211
24300000,-0.1152326816
24400000,-0.1175505804
24500000,-0.1105310591
24600000,-0.1114199068
24700000,-0.106826944
24800000,-0.1122592152
24900000,-0.1150593386
25000000,-0.1210045619
25100000,-0.1108416528
25200000,-0.1130432712
25300000,-0.1136287824
25400000,-0.1217474037
25500000,-0.1229094577
25600000,-0.1097956709
25700000,-0.1149720363
25800000,-0.1143808735
25900000,-0.1144477543
26000000,-0.111248488
26100000,-0.1164590829
26200000,-0.1190096805
26300000,-0.1302900187
26400000,-0.1196180304
26500000,-0.1300210183
26600000,-0.1246240613
26700000,-0.130823422
26800000,-0.1203642855
26900000,-0.1274968932
27000000,-0.1124256931
27100000,-0.1302981836
27200000,-0.1236824335
27300000,-0.1129748696
27400000,-0.1133832708
27500000,-0.1254167429
27600000,-0.1214666213
27700000,-0.130834293
27800000,-0.1320591921
27900000,-0.1281427688
28000000,-0.116358353
28100000,-0.1272298627
